Epoch: 0 learn=1.00998 test=1.00998
Epoch: 10 learn=0.603123 test=0.603161
Epoch: 20 learn=0.59008 test=0.590178
Epoch: 30 learn=0.581643 test=0.581832
Epoch: 40 learn=0.574135 test=0.574276
Epoch: 50 learn=0.567204 test=0.567421
Epoch: 60 learn=0.563898 test=0.56416
Epoch: 70 learn=0.561039 test=0.561463


Epoch: 0 learn=0.822951 test=0.822716
Epoch: 10 learn=0.570601 test=0.570646
Epoch: 20 learn=0.559534 test=0.559647
Epoch: 30 learn=0.552363 test=0.552443
Epoch: 40 learn=0.5446 test=0.544751
Epoch: 50 learn=0.540062 test=0.540383
Epoch: 60 learn=0.536808 test=0.53715
Epoch: 70 learn=0.53408 test=0.534461
Epoch: 80 learn=0.531832 test=0.532287
Epoch: 90 learn=0.529959 test=0.530377
Epoch: 100 learn=0.52878 test=0.529185
Epoch: 110 learn=0.528134 test=0.528609
Epoch: 120 learn=0.527383 test=0.527891
Epoch: 130 learn=0.52612 test=0.526537
Epoch: 140 learn=0.524811 test=0.525176
Epoch: 150 learn=0.523881 test=0.524248
Training done.

Matrix of means: 1 layer events %2 ==0
0.065	0.048	0.081	0.075	0.230	0.257	0.052	0.090	0.242	
0.069	0.052	0.084	0.082	0.159	0.253	0.054	0.098	0.273	
0.065	0.047	0.086	0.076	0.256	0.232	0.053	0.086	0.248	
0.070	0.051	0.090	0.084	0.185	0.233	0.056	0.094	0.277	
0.039	0.029	0.061	0.041	0.515	0.317	0.042	0.052	0.133	
0.034	0.028	0.038	0.036	0.245	0.503	0.045	0.065	0.152	
0.044	0.036	0.053	0.054	0.171	0.322	0.069	0.105	0.303	
0.045	0.037	0.054	0.055	0.161	0.306	0.068	0.110	0.313	
0.049	0.041	0.060	0.059	0.163	0.274	0.072	0.120	0.360

2 layers even amounts of each
0.146	0.163	0.137	0.135	0.128	0.108	0.090	0.099	0.114	
0.146	0.184	0.121	0.139	0.074	0.103	0.095	0.105	0.128	
0.133	0.137	0.156	0.148	0.154	0.100	0.094	0.099	0.101	
0.129	0.152	0.144	0.156	0.095	0.100	0.101	0.107	0.114	
0.078	0.055	0.113	0.073	0.480	0.123	0.074	0.067	0.054	
0.072	0.082	0.071	0.065	0.165	0.336	0.117	0.097	0.077	
0.090	0.110	0.087	0.102	0.085	0.150	0.163	0.163	0.150	
0.097	0.116	0.089	0.105	0.071	0.133	0.159	0.168	0.159	
0.106	0.134	0.091	0.111	0.074	0.121	0.148	0.164	0.170	

2 layers even amounts of each more cuts
0.153	0.160	0.130	0.130	0.093	0.081	0.118	0.120	0.124	
0.154	0.175	0.117	0.136	0.063	0.068	0.121	0.123	0.139	
0.131	0.122	0.172	0.171	0.108	0.084	0.097	0.102	0.124	
0.131	0.134	0.163	0.182	0.075	0.080	0.094	0.100	0.139	
0.073	0.043	0.093	0.074	0.465	0.236	0.081	0.076	0.049	
0.066	0.059	0.072	0.065	0.196	0.399	0.109	0.101	0.066	
0.123	0.129	0.104	0.102	0.096	0.138	0.149	0.155	0.121	
0.125	0.133	0.101	0.103	0.079	0.121	0.154	0.165	0.132	
0.124	0.142	0.112	0.138	0.072	0.085	0.122	0.132	0.169

